CaseLabel;SystemName;SystemSynonyms;PrimaryDomain;AllDomains;PrimaryActors;SecondaryActors;AllActors;ActorSynonyms;UseCases;UseCaseSynonyms;Relationships;RelationshipTypes;HasInclude;HasExtend;HasGeneralization
UCD_0024;Order_Management_System;Management System | Order System;Inventory Control;Inventory Control | Order Processing | Procurement | Supply Chain Management | Warehouse Operations;Purchasing Manager | Warehouse Manager;;Purchasing Manager | Warehouse Manager;Purchasing Manager: Buyer | Procurement Manager || Warehouse Manager: Inventory Manager | Stock Manager;Check Part | Check Permission | Order Part | Place Order | Register Part | See Order | Segregate Order;Check Part: Inspect Part | Verify Part || Check Permission: Confirm Authority | Verify Access || Order Part: Procure Part | Request Part || Place Order: Create Order | Submit Order || Register Part: Log Part | Record Part || See Order: Inspect Order | View Order || Segregate Order: Isolate Order | Separate Order;association: Purchasing Manager(actor) -> Check Permission(usecase) | association: Purchasing Manager(actor) -> Order Part(usecase) | association: Purchasing Manager(actor) -> Place Order(usecase) | association: Warehouse Manager(actor) -> Check Part(usecase) | association: Warehouse Manager(actor) -> Register Part(usecase) | association: Warehouse Manager(actor) -> See Order(usecase) | association: Warehouse Manager(actor) -> Segregate Order(usecase) | extend: Order Part(usecase) -> Check Part(usecase) [When There are No Parts];association | extend;No;Yes;No
UCD_0025;Coffin Escape System;Coffin System | Escape System;Audience Engagement;Audience Engagement | Coffin Manufacturing | Risk Management | Safety Systems | Stunt Performance;Audience | Coffin Maker | Escape Artist | Safety Officer;;Audience | Coffin Maker | Escape Artist | Safety Officer;Audience: Spectator | Viewer || Coffin Maker: Craftsman | Maker || Escape Artist: Artist | Performer || Safety Officer: Officer | Supervisor;Allow Stunt Fluid | Enable Computer Control System | Ensure Coffin Quality | Ensure Sufficient Air | Maximize Excitement | Minimize Risk | Perform Stunt | Pump Fluid;Allow Stunt Fluid: Release Fluid || Enable Computer Control System: Activate Control | Control System || Ensure Coffin Quality: Confirm Quality | Verify Quality || Ensure Sufficient Air: Provide Air | Secure Air || Maximize Excitement: Boost Excitement || Minimize Risk: Reduce Risk || Perform Stunt: Execute Stunt || Pump Fluid: Transfer Fluid;association: Audience(actor) -> Maximize Excitement(usecase) | association: Coffin Maker(actor) -> Ensure Coffin Quality(usecase) | association: Escape Artist(actor) -> Minimize Risk(usecase) | association: Escape Artist(actor) -> Perform Stunt(usecase) | association: Safety Officer(actor) -> Minimize Risk(usecase) | extend: Enable Computer Control System(usecase) -> Pump Fluid(usecase) [When Computer Control is Required] | include: Minimize Risk(usecase) -> Ensure Coffin Quality(usecase) | include: Minimize Risk(usecase) -> Ensure Sufficient Air(usecase) | include: Perform Stunt(usecase) -> Allow Stunt Fluid(usecase) | include: Perform Stunt(usecase) -> Pump Fluid(usecase);association | extend | include;Yes;Yes;No
UCD_0026;Healthcare;Care System | Health System;Healthcare Administration;Healthcare Administration | Legal and Regulatory Compliance | Medical Treatment and Assessment | Patient Admission and Discharge | Patient Record Management;Administrative Clerk | Doctor | Guardian | Nurse | Patient;;Administrative Clerk | Doctor | Guardian | Nurse | Patient;Administrative Clerk: Admin Staff | Clerk || Doctor: Clinician | Physician || Guardian: Caregiver | Protector || Nurse: Care Nurse || Patient: Individual | Recipient;Admit Patient | Advise Medical Treatment | Assess Patient Status | Maintain Progress Report | Obtain Legal Authorization | Recommend Patient Discharge | Record Initial Complaint | Review Discharge Summary;Admit Patient: Accept Patient | Register Recipient || Advise Medical Treatment: Provide Advice | Suggest Treatment || Assess Patient Status: Check Status | Evaluate Patient || Maintain Progress Report: Track Progress | Update Report || Obtain Legal Authorization: Gain Consent | Secure Approval || Recommend Patient Discharge: Propose Release | Suggest Discharge || Record Initial Complaint: Log Complaint | Note Issue || Review Discharge Summary: Examine Summary | Inspect Report;association: Administrative Clerk(actor) -> Record Initial Complaint(usecase) | association: Doctor(actor) -> Advise Medical Treatment(usecase) | association: Doctor(actor) -> Assess Patient Status(usecase) | association: Guardian(actor) -> Admit Patient(usecase) | association: Nurse(actor) -> Assess Patient Status(usecase) | association: Patient(actor) -> Admit Patient(usecase) | include: Advise Medical Treatment(usecase) -> Maintain Progress Report(usecase) | include: Maintain Progress Report(usecase) -> Recommend Patient Discharge(usecase) | include: Obtain Legal Authorization(usecase) -> Review Discharge Summary(usecase) | include: Record Initial Complaint(usecase) -> Obtain Legal Authorization(usecase);association | include;Yes;No;No
UCD_0027;POS;POS System | Point Of Sale;Financial Transactions;Financial Transactions | Point of Sale Systems | Retail Management | Sales Analytics | User Account Management;Cashier | Customer | Manager | System Administrator;Accounting System | Sales Activity System | Tax Calculator;Accounting System | Cashier | Customer | Manager | Sales Activity System | System Administrator | Tax Calculator;Accounting System: Finance System || Cashier: Clerk || Customer: Patron | Shopper || Manager: Supervisor || Sales Activity System: Sales System || System Administrator: Admin | System Admin || Tax Calculator: Tax Engine;Analyze Activity | Collect Cash | Handle Return | Manage Security | Manage User | Process Sale;Analyze Activity: Assess Activity | Review Activity || Collect Cash: Accept Cash | Receive Payment || Handle Return: Accept Return | Process Return || Manage Security: Control Access | Secure System || Manage User: Maintain User | Update User || Process Sale: Complete Sale | Record Sale;association: Cashier(actor) -> Collect Cash(usecase) | association: Customer(actor) -> Process Sale(usecase) | association: Manager(actor) -> Collect Cash(usecase) | association: Manager(actor) -> Process Sale(usecase) | association: Process Sale(usecase) -> Accounting System(actor) | association: Sales Activity System(actor) -> Analyze Activity(usecase) | association: System Administrator(actor) -> Manage User(usecase) | association: Tax Calculator(actor) -> Collect Cash(usecase) | extend: Handle Return(usecase) -> Process Sale(usecase) [When the Sale is Not satisfactory] | include: Analyze Activity(usecase) -> Manage User(usecase) | include: Manage User(usecase) -> Manage Security(usecase);association | extend | include;Yes;Yes;No
UCD_0028;Train Ticket Reservation;Ticket System | Train Reservation;Online Payment Processing;Online Payment Processing | Ticket Issuance | Train Schedule Management | Train Travel Booking | User Account Management;Customer;Ticket Booking App;Customer | Ticket Booking App;Customer: Passenger | User || Ticket Booking App: App | Booking Application;Access User Account | Choose Destination | Choose Origin | Choose Train | Issue Ticket | Make Payment | Receive Payment | Show Alternative Train | Show Available Seat | Show Available Train;Access User Account: Open Account | View Account || Choose Destination: Select Destination || Choose Origin: Select Origin || Choose Train: Select Train || Issue Ticket: Create Ticket | Generate Ticket || Make Payment: Submit Payment || Receive Payment: Accept Payment || Show Alternative Train: Display Alternative || Show Available Seat: Display Seat || Show Available Train: Display Train;association: Customer(actor) -> Access User Account(usecase) | association: Customer(actor) -> Make Payment(usecase) | association: Ticket Booking App(actor) -> Choose Origin(usecase) | association: Ticket Booking App(actor) -> Receive Payment(usecase) | association: Ticket Booking App(actor) -> Show Available Train(usecase) | extend: Show Alternative Train(usecase) -> Show Available Train(usecase) [When Trains are Not Available] | include: Access User Account(usecase) -> Choose Origin(usecase) | include: Choose Origin(usecase) -> Choose Destination(usecase) | include: Receive Payment(usecase) -> Issue Ticket(usecase) | include: Show Available Seat(usecase) -> Choose Train(usecase) | include: Show Available Train(usecase) -> Show Available Seat(usecase);association | extend | include;Yes;Yes;No
UCD_0029;Parking System;Park System | Parking Facility;Parking Management;Parking Management | Payment Processing | Rate Management | Receipt Generation | User Authentication;Driver | Parking Manager;;Driver | Parking Manager;Driver: Operator | Vehicle Operator || Parking Manager: Manager | Park Admin;Adjust Daily Rate | Adjust Hourly Rate | Adjust Rate | Pay Parking Bill | Print Reciept;Adjust Daily Rate: Modify Rate | Set Daily Rate || Adjust Hourly Rate: Modify Rate | Set Hourly Rate || Adjust Rate: Modify Rate | Set Rate || Pay Parking Bill: Settle Bill | Submit Payment || Print Reciept: Generate Receipt | Issue Receipt;association: Driver(actor) -> Pay Parking Bill(usecase) | association: Parking Manager(actor) -> Adjust Rate(usecase) | association: Parking Manager(actor) -> Print Reciept(usecase) | generalization: Adjust Daily Rate(usecase) -> Adjust Rate(usecase) | generalization: Adjust Hourly Rate(usecase) -> Adjust Rate(usecase);association | generalization;No;No;Yes
UCD_0030;Surveillance System ;Surveillance | Watch System;Environmental Monitoring;Environmental Monitoring | Geospatial Data Processing | Mission Planning | Security Systems | Wildlife Monitoring;Bear | Mission Operator | Sheep;GPS Constellation | Ground Station | Weather;Bear | GPS Constellation | Ground Station | Mission Operator | Sheep | Weather;Bear: Predator || GPS Constellation: GPS || Ground Station: Control Station | Station || Mission Operator: Mission Control | Operator || Sheep: Livestock || Weather: Atmosphere;Enter Safe Zone | Monitor System | Parameterize Mission | Plan Mission | Prepare Mission | Protect Sheep | Survey Safe Zone;Enter Safe Zone: Access Zone || Monitor System: Check System || Parameterize Mission: Define Mission || Plan Mission: Create Plan || Prepare Mission: Ready Mission || Protect Sheep: Guard Livestock || Survey Safe Zone: Scan Zone;association: Bear(actor) -> Enter Safe Zone(usecase) | association: GPS Constellation(actor) -> Monitor System(usecase) | association: Ground Station(actor) -> Monitor System(usecase) | association: Ground Station(actor) -> Prepare Mission(usecase) | association: Ground Station(actor) -> Survey Safe Zone(usecase) | association: Mission Operator(actor) -> Monitor System(usecase) | association: Mission Operator(actor) -> Survey Safe Zone(usecase) | association: Sheep(actor) -> Protect Sheep(usecase) | association: Weather(actor) -> Monitor System(usecase) | extend: Protect Sheep(usecase) -> Survey Safe Zone(usecase) [When Predator Enters Safe Zone] | include: Prepare Mission(usecase) -> Parameterize Mission(usecase) | include: Prepare Mission(usecase) -> Plan Mission(usecase);association | extend | include;Yes;Yes;No
UCD_0031;Coursework Management;Course Management | Course System;Academic Record Keeping;Academic Record Keeping | Course Management | Educational Administration | Learning Management Systems | Student Assessment;Administrator | Lecturer | Student | Submitter;;Administrator | Lecturer | Student | Submitter;Administrator: Admin | System Manager || Lecturer: Course Tutor | Instructor || Student: Course Participant | Learner || Submitter: Contributor;Publlish Mark | Retrieve Coursework | Retrieve Mark | Set Up Course Configuration | Submit Coursework;Publlish Mark: Publish Mark | Release Mark || Retrieve Coursework: Get Coursework || Retrieve Mark: Get Mark || Set Up Course Configuration: Configure Course | Setup Course || Submit Coursework: Send Coursework;association: Administrator(actor) -> Set Up Course Configuration(usecase) | association: Lecturer(actor) -> Retrieve Coursework(usecase) | association: Student(actor) -> Retrieve Mark(usecase) | association: Student(actor) -> Submit Coursework(usecase) | association: Submitter(actor) -> Publlish Mark(usecase) | extend: Retrieve Mark(usecase) -> Submit Coursework(usecase) [When Marks are Requested];association | extend;No;Yes;No
UCD_0032;Renewable Energy Monitoring System;Energy Monitor | Energy System | Renewable System;Energy Data Analytics;Energy Data Analytics | Renewable Energy Management | Sensor Management | System Administration | Turbine Monitoring;Control Engineer | Field Control Engineer | System Administrator;;Control Engineer | Field Control Engineer | System Administrator;Control Engineer: Controller | System Control || Field Control Engineer: Field Controller | Remote Control || System Administrator: Admin | System Manager;Analyze Energy Data | Generate Energy Report | Monitor Turbine | Perform Equipment Check | Register New Sensor;Analyze Energy Data: Process Data | Review Data || Generate Energy Report: Create Report | Produce Report || Monitor Turbine: Observe Turbine | Track Turbine || Perform Equipment Check: Check Equipment | Inspect Equipment || Register New Sensor: Add Sensor | Define Sensor;association: Control Engineer(actor) -> Analyze Energy Data(usecase) | association: Field Control Engineer(actor) -> Monitor Turbine(usecase) | association: Field Control Engineer(actor) -> Register New Sensor(usecase) | association: System Administrator(actor) -> Perform Equipment Check(usecase) | extend: Generate Energy Report(usecase) -> Monitor Turbine(usecase) [When Report is Required] | include: Register New Sensor(usecase) -> Monitor Turbine(usecase);association | extend | include;Yes;Yes;No
UCD_0033;Game;Game Platform | Gaming System;Game Management;Game Management | Game Settings Configuration | Leaderboard Administration | Player Engagement | User Account Management;Game Administrator | Player;;Game Administrator | Player;Game Administrator: Admin | Game Manager || Player: Gamer | Participant;Edit Leaderboard | Fetch Leaderboard | Modify Setting | Play Game | Update Leaderboard | View Leaderboard;Edit Leaderboard: Adjust Leaderboard | Change Leaderboard || Fetch Leaderboard: Get Leaderboard | Retrieve Leaderboard || Modify Setting: Adjust Setting | Change Setting || Play Game: Run Game | Start Game || Update Leaderboard: Refresh Leaderboard | Revise Leaderboard || View Leaderboard: Inspect Leaderboard | See Leaderboard;association: Game Administrator(actor) -> Edit Leaderboard(usecase) | association: Game Administrator(actor) -> Modify Setting(usecase) | association: Game Administrator(actor) -> Update Leaderboard(usecase) | association: Player(actor) -> Modify Setting(usecase) | association: Player(actor) -> Play Game(usecase) | association: Player(actor) -> View Leaderboard(usecase) | include: Play Game(usecase) -> Update Leaderboard(usecase) | include: View Leaderboard(usecase) -> Fetch Leaderboard(usecase);association | include;Yes;No;No
UCD_0034;Trading System;Trade System | Trading Platform;Account Management;Account Management | Financial Regulations | Financial Trading | Risk Management | Trade Execution;Trader | Trading Manager;Accounting System;Accounting System | Trader | Trading Manager;Accounting System: Finance System | Ledger System || Trader: Market Participant | Trade Operator || Trading Manager: Market Manager | Trade Supervisor;Analyze Risk | Capture Deal | Display Price | Set Limit | Update Account;Analyze Risk: Assess Risk | Evaluate Risk || Capture Deal: Log Deal | Record Trade || Display Price: Present Price | Show Price || Set Limit: Define Limit | Establish Limit || Update Account: Adjust Account | Modify Account;association: Accounting System(actor) -> Update Account(usecase) | association: Trader(actor) -> Analyze Risk(usecase) | association: Trader(actor) -> Capture Deal(usecase) | association: Trader(actor) -> Display Price(usecase) | association: Trading Manager(actor) -> Set Limit(usecase);association;No;No;No
UCD_0035;Bank;Banking System | Financial Institution;Account Management;Account Management | Banking Operations | Customer Service | Financial Transactions | Funds Management;Bank Employee | Customer;;Bank Employee | Customer;Bank Employee: Bank Staff | Teller || Customer: Account Holder | Bank Client;Deposit Fund | Open Account | Proivde Service | Update Balance | Withdraw Fund;Deposit Fund: Add Fund | Receive Fund || Open Account: Create Account | Establish Account || Proivde Service: Deliver Service | Offer Service || Update Balance: Adjust Balance | Modify Balance || Withdraw Fund: Dispense Fund | Remove Fund;association: Bank Employee(actor) -> Proivde Service(usecase) | association: Customer(actor) -> Deposit Fund(usecase) | association: Customer(actor) -> Open Account(usecase) | association: Customer(actor) -> Withdraw Fund(usecase) | include: Deposit Fund(usecase) -> Update Balance(usecase) | include: Withdraw Fund(usecase) -> Update Balance(usecase);association | include;Yes;No;No
UCD_0036;Automobile Service Management System;Auto Management | Service System | Vehicle System;Appointment Scheduling;Appointment Scheduling | Automotive Service Management | Customer Relationship Management | Spare Parts Inventory | Vehicle Maintenance;Car Owner | Service Engineer | Service Representative | Technician;;Car Owner | Service Engineer | Service Representative | Technician;Car Owner: Customer | Vehicle Owner || Service Engineer: Engineer | Service Specialist || Service Representative: Rep | Service Agent || Technician: Mechanic | Service Tech;Book Appointment | Book Service Appointment | Generate Service Report | Inspect Vehicle | Register Contact Information | Register Spare Part | Repair Vehicle;Book Appointment: Arrange Booking | Schedule Visit || Book Service Appointment: Arrange Service | Schedule Service || Generate Service Report: Create Report | Produce Report || Inspect Vehicle: Check Vehicle | Examine Vehicle || Register Contact Information: Capture Contact | Record Contact || Register Spare Part: Add Part | Record Part || Repair Vehicle: Fix Vehicle | Restore Vehicle;association: Car Owner(actor) -> Book Service Appointment(usecase) | association: Car Owner(actor) -> Register Spare Part(usecase) | association: Service Engineer(actor) -> Inspect Vehicle(usecase) | association: Service Representative(actor) -> Book Appointment(usecase) | association: Service Representative(actor) -> Register Contact Information(usecase) | association: Technician(actor) -> Repair Vehicle(usecase) | extend: Generate Service Report(usecase) -> Book Service Appointment(usecase) [When Service is Required] | include: Register Spare Part(usecase) -> Book Service Appointment(usecase);association | extend | include;Yes;Yes;No
UCD_0037;Clinic Management;Clinic System | Healthcare System | Medical Center;Clinical Reporting;Clinical Reporting | Healthcare Information Management | Medical Records Management | Patient Scheduling | Prescription Management;Doctor | Nurse | Patient;;Doctor | Nurse | Patient;Doctor: Clinician | Physician || Nurse: Caregiver | Practitioner || Patient: Client | Individual;Enter Patient Information | Give Prescription | Print Report | Record Visit Information | Schedule Appointment | View Patient History;Enter Patient Information: Input Data | Record Detail || Give Prescription: Issue Prescription | Provide Medication || Print Report: Generate Report | Output Report || Record Visit Information: Document Visit | Log Visit || Schedule Appointment: Arrange Visit | Book Appointment || View Patient History: Inspect Record | Review History;association: Doctor(actor) -> Give Prescription(usecase) | association: Doctor(actor) -> View Patient History(usecase) | association: Nurse(actor) -> Print Report(usecase) | association: Patient(actor) -> Enter Patient Information(usecase) | association: Patient(actor) -> Schedule Appointment(usecase) | include: Schedule Appointment(usecase) -> Record Visit Information(usecase);association | include;Yes;No;No
UCD_0038;Car Maintenance;Auto Care | Vehicle Maintenance;Automotive Maintenance;Automotive Maintenance | Insurance Claim Management | Parts Ordering and Logistics | Payment Processing | Vehicle Repair Services;Customer | Mechanic;Service Center;Customer | Mechanic | Service Center;Customer: Car Owner | Vehicle Owner || Mechanic: Auto Technician | Service Technician || Service Center: Auto Shop | Repair Facility;Claim Insurance | Deliver Car | Make Payment | Monitor Activity | Order Part | Perform Maintenance | Raise Request | Receive Payment | Send Invoice | Ship Part;Claim Insurance: File Claim || Deliver Car: Return Vehicle || Make Payment: Process Payment | Submit Payment || Monitor Activity: Track Activity || Order Part: Procure Part | Request Part || Perform Maintenance: Conduct Maintenance | Execute Maintenance || Raise Request: Create Request | Submit Request || Receive Payment: Accept Payment | Collect Payment || Send Invoice: Deliver Invoice | Issue Invoice || Ship Part: Dispatch Part;association: Customer(actor) -> Claim Insurance(usecase) | association: Customer(actor) -> Make Payment(usecase) | association: Customer(actor) -> Raise Request(usecase) | association: Mechanic(actor) -> Perform Maintenance(usecase) | association: Service Center(actor) -> Deliver Car(usecase) | association: Service Center(actor) -> Monitor Activity(usecase) | association: Service Center(actor) -> Order Part(usecase) | association: Service Center(actor) -> Receive Payment(usecase) | association: Service Center(actor) -> Ship Part(usecase) | extend: Order Part(usecase) -> Perform Maintenance(usecase) [When part is missing] | include: Monitor Activity(usecase) -> Send Invoice(usecase);association | extend | include;Yes;Yes;No
UCD_0039;Lab  Testing System;Lab System | Testing System;Healthcare Administration;Healthcare Administration | Laboratory Information Management | Medical Testing | Patient Management | Prescription Management;Lab Technician | Medical Officer | Patient;;Lab Technician | Medical Officer | Patient;Lab Technician: Lab Worker | Technician || Medical Officer: Doctor | Physician || Patient: Individual | Subject;Assess Patient | Fill Form | Give Result | Perform Test | Prescribe Medication | Prescribe Test;Assess Patient: Evaluate Patient | Examine Patient || Fill Form: Complete Form | Enter Data || Give Result: Provide Result | Report Result || Perform Test: Execute Test | Run Test || Prescribe Medication: Order Medication || Prescribe Test: Order Test;association: Lab Technician(actor) -> Give Result(usecase) | association: Lab Technician(actor) -> Perform Test(usecase) | association: Medical Officer(actor) -> Assess Patient(usecase) | association: Medical Officer(actor) -> Prescribe Medication(usecase) | association: Medical Officer(actor) -> Prescribe Test(usecase) | association: Patient(actor) -> Fill Form(usecase) | association: Patient(actor) -> Perform Test(usecase);association;No;No;No
UCD_0040;Course Registration;Course System | Registration System;Academic Registration;Academic Registration | Course Management | Educational Services | Higher Education Administration | Student Information Systems;Professor | Registrar | Student;;Professor | Registrar | Student;Professor: Faculty Member | Instructor || Registrar: Registrar Office | Registration Staff || Student: Enrollee | Learner;Close Registration | Drop Course | Enrol In College | Register For Course | Select Course;Close Registration: End Registration | Terminate Registration || Drop Course: Cancel Course | Remove Course || Enrol In College: Enter College | Join College || Register For Course: Add Course | Enroll Course || Select Course: Choose Course | Pick Course;association: Professor(actor) -> Select Course(usecase) | association: Registrar(actor) -> Close Registration(usecase) | association: Student(actor) -> Enrol In College(usecase) | association: Student(actor) -> Register For Course(usecase) | extend: Drop Course(usecase) -> Register For Course(usecase) [When change is required] | include: Enrol In College(usecase) -> Register For Course(usecase);association | extend | include;Yes;Yes;No
UCD_0041;Flight Reservation System;Flight System | Reservation System;Airline Reservation;Airline Reservation | Customer Service | Flight Operations | Travel Management | User Account Management;Administrator | Agent | Customer;;Administrator | Agent | Customer;Administrator: Admin | System Admin || Agent: Travel Agent || Customer: Passenger | Traveler;Assist Passenger | Book Ticket | Cancel Booking | Check Availability | Edit Booking | Manage Flight Schedule | Manage Reservation | Manage User Account | Resolve Technical Issue | Search Flight;Assist Passenger: Aid Passenger || Book Ticket: Issue Ticket || Cancel Booking: Void Booking || Check Availability: Verify Availability || Edit Booking: Modify Booking || Manage Flight Schedule: Handle Schedule || Manage Reservation: Handle Reservation || Manage User Account: Handle Account || Resolve Technical Issue: Fix Issue || Search Flight: Find Flight;association: Administrator(actor) -> Manage Flight Schedule(usecase) | association: Administrator(actor) -> Manage User Account(usecase) | association: Administrator(actor) -> Resolve Technical Issue(usecase) | association: Agent(actor) -> Assist Passenger(usecase) | association: Agent(actor) -> Edit Booking(usecase) | association: Agent(actor) -> Manage Reservation(usecase) | association: Customer(actor) -> Book Ticket(usecase) | association: Customer(actor) -> Search Flight(usecase) | extend: Cancel Booking(usecase) -> Manage Reservation(usecase) [When the booking needs to be cancelled] | include: Assist Passenger(usecase) -> Check Availability(usecase);association | extend | include;Yes;Yes;No
UCD_0042;Loan Management;Loan System | Mortgage System;Credit Risk Assessment;Credit Risk Assessment | Financial Services | Home Finance | Loan Origination | Mortgage Lending;Home Buyer | Loan Officer;;Home Buyer | Loan Officer;Home Buyer: Applicant | Borrower | Buyer || Loan Officer: Lender | Loan Specialist;Assess Home Value | Check Credit History | Check Eligibility | Process Loan Application | Process Mortgage Application | Sanction Loan;Assess Home Value: Estimate Value | Value Home || Check Credit History: Review Credit | Verify Credit || Check Eligibility: Verify Eligibility || Process Loan Application: Handle Loan | Review Loan || Process Mortgage Application: Handle Mortgage | Review Mortgage || Sanction Loan: Approve Loan | Fund Loan;association: Home Buyer(actor) -> Process Loan Application(usecase) | association: Home Buyer(actor) -> Process Mortgage Application(usecase) | association: Loan Officer(actor) -> Assess Home Value(usecase) | association: Loan Officer(actor) -> Check Credit History(usecase) | association: Loan Officer(actor) -> Check Eligibility(usecase) | association: Loan Officer(actor) -> Sanction Loan(usecase);association;No;No;No
UCD_0043;Boarding System;Boarding | System;Airline Boarding;Airline Boarding | Luggage Handling | Passenger Services | Ticket Management | Travel Logistics;Passenger | Ticket Clerk;;Passenger | Ticket Clerk;Passenger: Patron | Traveler || Ticket Clerk: Agent | Clerk;Assign Seat | Give Ticket | Handle Luggage | Handover Luggage | Weigh Luggage;Assign Seat: Allocate Seat || Give Ticket: Issue Ticket || Handle Luggage: Manage Luggage || Handover Luggage: Transfer Luggage || Weigh Luggage: Scale Luggage;association: Passenger(actor) -> Give Ticket(usecase) | association: Passenger(actor) -> Handover Luggage(usecase) | association: Ticket Clerk(actor) -> Handle Luggage(usecase) | include: Handle Luggage(usecase) -> Assign Seat(usecase) | include: Handle Luggage(usecase) -> Weigh Luggage(usecase);association | include;Yes;No;No
UCD_0044;Energy Distribution Management System;Distribution System | Energy System | Power Management;Billing and Reporting;Billing and Reporting | Energy Distribution | Power Grid Management | Power Supply Allocation | System Authentication;Grid Operator;Control Center System;Control Center System | Grid Operator;Control Center System: Center System | Control System || Grid Operator: Grid Control | Operator;Activate Backup Line | Allocate Power Supply | Authenticate Operator | Check Transformer Load | Generate Energy Report | Monitor Power Flow | Record Energy Usage | Select Distribution Area | Select Power Source | Validate Energy Billing;Activate Backup Line: Enable Line | Start Line || Allocate Power Supply: Assign Supply | Provide Power || Authenticate Operator: Confirm Operator | Verify Operator || Check Transformer Load: Inspect Load | Review Load || Generate Energy Report: Create Report | Produce Report || Monitor Power Flow: Observe Flow | Track Flow || Record Energy Usage: Capture Usage | Log Usage || Select Distribution Area: Choose Area | Pick Area || Select Power Source: Choose Source | Pick Source || Validate Energy Billing: Confirm Billing | Verify Billing;association: Control Center System(actor) -> Monitor Power Flow(usecase) | association: Control Center System(actor) -> Select Power Source(usecase) | association: Control Center System(actor) -> Validate Energy Billing(usecase) | association: Grid Operator(actor) -> Authenticate Operator(usecase) | association: Grid Operator(actor) -> Record Energy Usage(usecase) | extend: Activate Backup Line(usecase) -> Monitor Power Flow(usecase) [When Main Power is not Available] | include: Authenticate Operator(usecase) -> Select Power Source(usecase) | include: Check Transformer Load(usecase) -> Allocate Power Supply(usecase) | include: Monitor Power Flow(usecase) -> Check Transformer Load(usecase) | include: Select Power Source(usecase) -> Select Distribution Area(usecase) | include: Validate Energy Billing(usecase) -> Generate Energy Report(usecase);association | extend | include;Yes;Yes;No
UCD_0045;Fire Alarm System;Alarm System | Fire System;Alarm Systems;Alarm Systems | Emergency Response | Fire Safety | Sensor Integration | System Maintenance;Civillian | Fire Department | Installation Personnel | Maintenance Operator | Technician;Sensor;Civillian | Fire Department | Installation Personnel | Maintenance Operator | Sensor | Technician;Civillian: Occupant | Resident || Fire Department: Emergency Service | Fire Crew || Installation Personnel: Installer | Setup Crew || Maintenance Operator: Operator | System Maintainer || Sensor: Detector || Technician: Service Personnel | System Expert;Alert User | Detect Fire | Display Standby | Handle False Alarm | Handle System Fault | Inform Authority | Initialize System | Perform Maintenance | Shutdown System | Warn Environment;Alert User: Notify User || Detect Fire: Sense Fire || Display Standby: Show Status || Handle False Alarm: Clear Alarm | Resolve Alarm || Handle System Fault: Correct Error | Resolve Fault || Inform Authority: Notify Authority || Initialize System: Boot System | Start System || Perform Maintenance: Conduct Service || Shutdown System: Stop System || Warn Environment: Notify Area;association: Civillian(actor) -> Alert User(usecase) | association: Fire Department(actor) -> Shutdown System(usecase) | association: Handle False Alarm(usecase) -> Civillian(actor) | association: Inform Authority(usecase) -> Fire Department(actor) | association: Initialize System(usecase) -> Technician(actor) | association: Maintenance Operator(actor) -> Handle System Fault(usecase) | association: Maintenance Operator(actor) -> Perform Maintenance(usecase) | association: Sensor(actor) -> Detect Fire(usecase) | association: Technician(actor) -> Shutdown System(usecase) | extend: Handle False Alarm(usecase) -> Warn Environment(usecase) [When There is False Trigger] | extend: Handle System Fault(usecase) -> Detect Fire(usecase) [When Fault is Detected] | generalization: Installation Personnel(actor) -> Technician(actor) | generalization: Maintenance Operator(actor) -> Technician(actor) | include: Detect Fire(usecase) -> Display Standby(usecase) | include: Detect Fire(usecase) -> Initialize System(usecase) | include: Detect Fire(usecase) -> Shutdown System(usecase) | include: Warn Environment(usecase) -> Alert User(usecase) | include: Warn Environment(usecase) -> Inform Authority(usecase);association | extend | generalization | include;Yes;Yes;Yes
